,urban_score,oxford_score,follower_score,favorite_score,friend_score,sex_words_ratio,posneg,compound
24535,0.0,0.0,2.57802e-05,4.4727399999999995e-05,5.354979999999999e-05,0.0,0.0,0.0
24536,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24537,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0205391527599487,-0.201,-0.6956
24538,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.00424178154825026,-0.09699999999999999,-0.4019
24539,0.12121199999999999,0.0,2.47477e-05,0.0287796,0.00186856,0.0205391527599487,0.0,0.0
24540,0.0606061,0.0,0.00010501899999999999,0.00414308,0.00105964,0.0139372822299652,0.216,0.5562
24541,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24542,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24543,0.030302999999999997,0.0,1.1824300000000001e-05,0.0197678,0.000901421,0.00886917960088692,0.258,0.5378
24544,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0195121951219512,-0.139,-0.5413
24545,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.444,-0.34
24546,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.010840108401084,0.0,0.0
24547,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.524,0.0258
24548,0.151515,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0344332855093257,0.048,0.2263
24549,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.495,-0.2411
24550,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.00513478818998716,0.19699999999999998,0.7506
24551,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.0195121951219512,0.0,0.0
24552,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.245,-0.0772
24553,0.212121,0.0631579,0.000341471,0.109648,0.0006393519999999999,0.0487804878048781,0.06499999999999999,0.2342
24554,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0205391527599487,-0.08099999999999999,-0.2173
24555,0.030302999999999997,0.0,3.0143599999999996e-06,0.019521,1.94726e-05,0.00542005420054201,-0.03900000000000001,-0.2023
24556,0.0,0.0,1.49885e-07,1.6565700000000002e-06,7.78906e-05,0.0,0.0,0.0
24557,0.0606061,0.0,1.3506300000000001e-05,0.011995200000000001,0.00106126,0.0114777618364419,0.158,0.5707
24558,0.0909091,0.0,2.39816e-06,0.000863073,0.000495741,0.0154043645699615,0.07900000000000001,0.2263
24559,0.030302999999999997,0.0,8.043830000000001e-06,9.442450000000001e-05,0.00018093299999999998,0.00609756097560976,-0.102,-0.1505
24560,0.0606061,0.0,8.043830000000001e-06,9.442450000000001e-05,0.00018093299999999998,0.0102695763799743,-0.267,-0.7794
24561,0.0909091,0.0,0.0245043,0.00481731,0.0018855999999999999,0.0154043645699615,0.0,0.0
24562,0.0,0.0631579,0.0245043,0.00481731,0.0018855999999999999,0.0365853658536585,-0.22,-0.6408
24563,0.0909091,0.0,4.23009e-05,0.0277426,0.00405518,0.016260162601626,0.172,0.5473
24564,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24565,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24566,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0205391527599487,0.307,0.7964
24567,0.151515,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.021680216802168,-0.124,-0.5267
24568,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.021680216802168,0.21599999999999997,0.6705
24569,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.082,-0.1531
24570,0.151515,0.0,0.000341471,0.109648,0.0006393519999999999,0.0232288037166086,-0.128,-0.3612
24571,0.0606061,0.0,4.996169999999999e-08,0.000102707,3.16431e-05,0.0177383592017738,-0.254,-0.5267
24572,0.0,0.0,2.47477e-05,0.0287796,0.00186856,0.0,-0.559,-0.5859
24573,0.0,0.0,3.88036e-06,0.0480057,0.000188236,0.0,0.008000000000000007,0.0258
24574,0.0,0.0,6.97798e-05,0.021399599999999998,0.000592293,0.0,0.256,0.3412
24575,0.030302999999999997,0.0,2.8478199999999998e-06,0.00340094,0.000246654,0.00542005420054201,0.0,0.0
24576,0.0,0.0,7.39433e-06,0.041044800000000006,0.0005785,0.0,-0.368,-0.5423
24577,0.0909091,0.0,1.8818900000000003e-06,0.00163172,0.000336715,0.0209059233449477,0.358,0.6792
24578,0.0,0.0,8.32695e-08,0.0,3.08317e-05,0.0,-0.09600000000000003,-0.3812
24579,0.0,0.0,6.6782100000000006e-06,0.0108721,0.00060852,0.0,0.0,0.0
24580,0.0,0.0,2.31489e-06,0.000101051,0.000163895,0.0,-0.243,-0.6688
24581,0.0,0.0,1.9585e-05,0.154558,0.000550102,0.0,0.0,0.0
24582,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24583,0.030302999999999997,0.0,4.99617e-07,0.000101051,0.00018417900000000003,0.010840108401084,0.0,0.0
24584,0.0909091,0.0,0.000341471,0.109648,0.0006393519999999999,0.0172166427546628,0.0,0.0
24585,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.0075046904315197,0.166,0.3382
24586,0.12121199999999999,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0232288037166086,0.305,0.8357
24587,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24588,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.0048780487804878,0.159,0.5574
24589,0.0909091,0.0315789,0.000341471,0.109648,0.0006393519999999999,0.0266075388026608,-0.03299999999999999,-0.2023
24590,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24591,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.155,-0.296
24592,0.24242399999999997,0.021052599999999998,0.000341471,0.109648,0.0006393519999999999,0.03613369467028,0.0,0.0
24593,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.004645760743321721,0.158,0.4939
24594,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.192,0.2263
24595,0.181818,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0310421286031042,0.0,0.0
24596,0.12121199999999999,0.0,1.2174e-05,0.0812382,0.0007951330000000001,0.0169671261930011,0.0,0.0
24597,0.030302999999999997,0.0,1.2174e-05,0.0812382,0.0007951330000000001,0.0034843205574912896,-0.069,-0.2144
24598,0.0,0.0,0.00492153,0.014278,0.00023286,0.0,0.0,0.0
24599,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,-0.213,-0.4019
24600,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.542,0.6948
24601,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.006968641114982579,0.0,0.0
24602,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.008130081300813009,0.268,0.5667
24603,0.363636,0.0315789,3.46734e-05,0.0284383,0.0007448289999999999,0.0562851782363977,0.127,0.3612
24604,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.00975609756097561,-0.174,-0.2263
24605,0.181818,0.0631579,4.3783100000000004e-05,0.00498131,0.00140203,0.0450281425891182,-0.134,-0.7003
24606,0.0909091,0.0,0.0245043,0.00481731,0.0018855999999999999,0.0154043645699615,-0.27,-0.743
